1,Venusaur EX
2,M Venusaur EX
3,Caterpie
4,Metapod
5,Butterfree
6,Paras
7,Parasect
8,Tangela
9,Pinsir
10,Leafeon EX
11,Charizard EX
12,M Charizard EX
13,Ninetales EX
14,Ponyta
15,Rapidash
16,Magmar
17,Blastoise EX
18,M Blastoise EX
19,Shellder
20,Cloyster
21,Krabby
22,Magikarp
23,Gyarados
24,Vaporeon EX
25,Articuno
26,Pikachu
27,Raichu
28,Jolteon EX
29,Zapdos
30,Zubat
31,Golbat
32,Slowpoke
33,Gastly
34,Haunter
35,Gengar
36,Jynx
37,Meowstic EX
38,Diglett
39,Dugtrio
40,Machop
41,Machoke
42,Machamp
43,Geodude
44,Graveler
45,Golem
46,Golem EX
47,Hitmonlee
48,Hitmonchan
49,Rhyhorn
50,Clefairy
51,Clefable
52,Mr. Mime
53,Meowth
54,Persian
55,Doduo
56,Dodrio
57,Tauros
58,Snorlax
59,Clemont
60,Crushing Hammer
61,Energy Switch
62,Evosoda
63,Imakuni?
64,Maintenance
65,Max Revive
66,Olympia
67,Poke ball
68,Pokemon Center Lady
69,Pokemon Fan Club
70,Revitalizer
71,Red Card
72,Shauna
73,Team Flare Grunt
74,Double Colorless Energy
75,Grass Energy
76,Fire Energy
77,Water Energy
78,Electric Energy
79,Psychic Energy
80,Fighting Energy
81,Dark Energy
82,Steel Energy
83,Fairy Energy
RC1,Chikorita
RC2,Shroomish
RC3,Charmander
RC4,Charmeleon
RC5,Charizard
RC6,Flareon EX
RC7,Snorunt
RC8,Froslass
RC9,Raichu
RC10,Dedenne
RC11,Wobbuffet
RC12,Gulpin
RC13,Jirachi
RC14,Espurr
RC15,Meowstic
RC16,Yveltal
RC17,Flabebe
RC18,Floette
RC19,Swirlix
RC20,Slurpuff
RC21,Sylveon EX
RC22,Diancie
RC23,Swablu
RC24,Altaria
RC25,Fletchling
RC26,Floral Crown
RC27,Wally
RC28,Flareon EX
RC29,Pikachu
RC30,Gardevoir EX
RC31,M Gardevoir EX
RC32,Sylveon EX
